subject	subject_label	subject_category	subject_taxon	subject_taxon_label	negated	predicate	object	object_label	object_category	qualifiers	publications	has_evidence	primary_knowledge_source	aggregator_knowledge_source
MONDO:0005800	hordeolum	biolink:Disease				biolink:disease_has_location	UBERON:0013229	eyelid gland	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0021250	tonsil neoplasm	biolink:Disease				biolink:disease_has_location	UBERON:0002372	tonsil	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0005115	temporal lobe epilepsy	biolink:Disease				biolink:disease_has_location	UBERON:0001871	temporal lobe	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0006391	pyloric gland adenoma	biolink:Disease				biolink:disease_has_location	UBERON:0008861	pyloric gastric gland	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0020678	sensorineural hearing loss disorder	biolink:Disease				biolink:disease_has_location	UBERON:0001846	internal ear	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0019621	chronic pneumonitis of infancy	biolink:Disease				biolink:disease_has_location	UBERON:0002048	lung	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0016717	choroid plexus neoplasm	biolink:Disease				biolink:disease_has_location	UBERON:0004086	brain ventricle	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0002303	central retinal vein occlusion	biolink:Disease				biolink:disease_has_location	UBERON:0001673	central retinal vein	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0024636	inflammation of heart layer	biolink:Disease				biolink:disease_has_location	UBERON:0005983	heart layer	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0016239	cystinosis	biolink:Disease				biolink:disease_has_location	GO:0005764	lysosome	biolink:CellularComponent				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0002090	eccrine sweat gland neoplasm	biolink:Disease				biolink:disease_has_location	UBERON:0000423	eccrine sweat gland	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0001166	nephritis	biolink:Disease				biolink:disease_has_location	UBERON:0002113	kidney	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0005039	reproductive system disorder	biolink:Disease				biolink:disease_has_location	UBERON:0000990	reproductive system	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0021082	Meckel diverticulum neoplasm	biolink:Disease				biolink:disease_has_location	UBERON:0003705	Meckel's diverticulum	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0005753	epiglottitis	biolink:Disease				biolink:disease_has_location	UBERON:0004982	mucosa of epiglottis	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0019278	hair anomaly	biolink:Disease				biolink:disease_has_location	UBERON:0002074	hair shaft	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0004785	blepharitis	biolink:Disease				biolink:disease_has_location	UBERON:0001711	eyelid	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0044992	mouth mucosa disorder	biolink:Disease				biolink:disease_has_location	UBERON:0003729	mouth mucosa	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0005495	adrenal gland disorder	biolink:Disease				biolink:disease_has_location	UBERON:0002369	adrenal gland	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0005194	Rotavirus infection	biolink:Disease				biolink:disease_has_location	UBERON:0001007	digestive system	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0006094	Askin tumor	biolink:Disease				biolink:disease_has_location	UBERON:0002224	thoracic cavity	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0003790	prostatic urethra urothelial carcinoma	biolink:Disease				biolink:disease_has_location	UBERON:0015777	transitional epithelium of prostatic urethra	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0001557	olecranon bursitis	biolink:Disease				biolink:disease_has_location	UBERON:0001490	elbow joint	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0020579	mucositis	biolink:Disease				biolink:disease_has_location	UBERON:0000344	mucosa	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0001352	round ligament malignant neoplasm	biolink:Disease				biolink:disease_has_location	UBERON:0006589	round ligament of uterus	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0056805	benign peripheral nerve granular cell tumor	biolink:Disease				biolink:disease_has_location	UBERON:0001021	nerve	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0000740	adenoid hypertrophy	biolink:Disease				biolink:disease_has_location	UBERON:0001734	palatine uvula	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0007018	vulvitis	biolink:Disease				biolink:disease_has_location	UBERON:0000997	mammalian vulva	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0002488	intraductal breast neoplasm	biolink:Disease				biolink:disease_has_location	UBERON:0001765	mammary duct	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0006900	perinephritis	biolink:Disease				biolink:disease_has_location	UBERON:0005406	perirenal fat	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0042983	neurocutaneous syndrome	biolink:Disease				biolink:disease_has_location	UBERON:0000924	ectoderm	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0002052	lymphadenitis	biolink:Disease				biolink:disease_has_location	UBERON:0000029	lymph node	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0005322	ulna fracture	biolink:Disease				biolink:disease_has_location	UBERON:0001424	ulna	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0020290	familial atrioventricular septal defect	biolink:Disease				biolink:disease_has_location	UBERON:0005989	atrioventricular septum	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0000586	autoimmune disorder of exocrine system	biolink:Disease				biolink:disease_has_location	UBERON:0002330	exocrine system	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0002098	facial nerve disorder	biolink:Disease				biolink:disease_has_location	UBERON:0001647	facial nerve	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0002269	gastroenteritis	biolink:Disease				biolink:disease_has_location	UBERON:0000160	intestine	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0001039	tonsillitis	biolink:Disease				biolink:disease_has_location	UBERON:0002372	tonsil	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0002917	disorder of pilosebaceous unit	biolink:Disease				biolink:disease_has_location	UBERON:0011932	pilosebaceous unit	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0004077	lumbosacral lipoma	biolink:Disease				biolink:disease_has_location	UBERON:0006075	sacral region of vertebral column	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0002886	common bile duct disorder	biolink:Disease				biolink:disease_has_location	UBERON:0001174	common bile duct	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
MONDO:0021383	neoplasm of floor of mouth	biolink:Disease				biolink:disease_has_location	UBERON:0003679	mouth floor	biolink:AnatomicalEntity				infores:mondo	['infores:monarchinitiative', 'infores:phenio']
