subject	subject_label	subject_category	subject_taxon	subject_taxon_label	negated	predicate	object	object_label	object_category	qualifiers	publications	has_evidence	primary_knowledge_source	aggregator_knowledge_source
MONDO:0012524	corticosterone methyloxidase type 2 deficiency	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:1594605']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0009667	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A3	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['OMIM:253280']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0010660	intellectual disability, X-linked 9	biolink:Disease				biolink:has_mode_of_inheritance	HP:0001419	X-linked recessive inheritance	biolink:PhenotypicFeature		['PMID:15162322']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013659	microcephaly-capillary malformation syndrome	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:23542699']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0014651	acrofacial dysostosis Cincinnati type	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:25913037']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0014552	lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:24128419']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0800131	hyper-IgE recurrent infection syndrome 4A, autosomal dominant	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:32207811']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0007728	acne inversa, familial, 1	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['OMIM:142690']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0007949	Marshall syndrome	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:9529347']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0014087	Smith-McCort dysplasia 2	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:22652534']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0010124	thumb, distal hyperextensibility of	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['OMIM:274200']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0859263	developmental delay, impaired speech, and behavioral abnormalities, with or without seizures	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:31678406']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013488	lipodystrophy, partial, acquired, with low complement component c3, with or without glomerulonephritis	biolink:Disease				biolink:has_mode_of_inheritance	HP:0003745	Sporadic	biolink:PhenotypicFeature		['OMIM:613913']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0010359	Dent disease type 2	biolink:Disease				biolink:has_mode_of_inheritance	HP:0001419	X-linked recessive inheritance	biolink:PhenotypicFeature		['PMID:15627218']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0012467	cold-induced sweating syndrome 2	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:16782820']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0015004	dystonia 28, childhood-onset	biolink:Disease				biolink:has_mode_of_inheritance	HP:0003829	Typified by incomplete penetrance	biolink:PhenotypicFeature		['OMIM:617284']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0011688	muscular dystrophy-dystroglycanopathy type B5	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:11592034']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0800030	gastrointestinal defects and immunodeficiency syndrome 1	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:23423984']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013403	heterotaxy, visceral, 4, autosomal	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:9916847']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0008114	obsessive-compulsive disorder	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['OMIM:164230']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0010542	dilated cardiomyopathy 3B	biolink:Disease				biolink:has_mode_of_inheritance	HP:0001417	X-linked inheritance	biolink:PhenotypicFeature		['PMID:8361506']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0007874	trichorhinophalangeal syndrome type II	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:23913778']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013741	familial temporal lobe epilepsy 5	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:21922598']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0009894	short-rib thoracic dysplasia 6 with or without polydactyly	biolink:Disease				biolink:has_mode_of_inheritance	HP:0010984	Digenic inheritance	biolink:PhenotypicFeature		['OMIM:263520']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0009723	Leigh syndrome	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['OMIM:256000']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0008916	cardiomyopathy associated with myopathy and sudden death	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['OMIM:212130']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0011199	nephropathy, progressive tubulointerstitial, with cholestatic liver disease	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['OMIM:602114']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0008001	milia, multiple eruptive	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['OMIM:157400']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0010230	intellectual disability, X-linked 23	biolink:Disease				biolink:has_mode_of_inheritance	HP:0001419	X-linked recessive inheritance	biolink:PhenotypicFeature		['OMIM:300046']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0010131	thyroid hormone resistance, generalized, autosomal recessive	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:1991834']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0011725	Crigler-Najjar syndrome type 2	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:8276413']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0030258	pontocerebellar hypoplasia, type 14	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:33220177']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0012116	spinocerebellar ataxia type 8	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['OMIM:608768']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0800187	immunodeficiency 83, susceptibility to viral infections	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:17872438']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0957382	multiple mitochondrial dysfunctions syndrome 7	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:36190515']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0957273	Charcot-Marie-Tooth disease, dominant intermediate A	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:11533914']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013530	atrial fibrillation, familial, 10	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:18088563']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013595	hyperbiliverdinemia	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['OMIM:614156']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0015270	butyrylcholinesterase deficiency	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:21637541']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013641	Warburg micro syndrome 2	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:20967465']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0010721	reticuloendotheliosis, X-linked	biolink:Disease				biolink:has_mode_of_inheritance	HP:0001417	X-linked inheritance	biolink:PhenotypicFeature		['OMIM:312500']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013254	microcephaly, seizures, and developmental delay	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:20118933']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0008492	stiff skin syndrome	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:20375004']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0012191	hepatoencephalopathy due to combined oxidative phosphorylation defect type 1	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:15537906']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0016862	Alagille syndrome due to a JAG1 point mutation	biolink:Disease				biolink:has_mode_of_inheritance	HP:0003829	Typified by incomplete penetrance	biolink:PhenotypicFeature		['OMIM:118450']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0007397	craniometaphyseal dysplasia, autosomal dominant	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:11326272']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0014108	Fanconi anemia complementation group Q	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:23623386']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0012316	Majeed syndrome	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:15994876']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0012041	familial adenomatous polyposis 2	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['OMIM:608456']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013563	multiple congenital anomalies-hypotonia-seizures syndrome 1	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['OMIM:614080']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013931	peroxisome biogenesis disorder 4B	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['OMIM:614863']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0013479	dilated cardiomyopathy 1HH	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:21353195']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0011789	familial meningioma	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['OMIM:607174']	['ECO:0000304']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0008739	agenesis of cerebral white matter	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['OMIM:202600']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0060713	deafness, congenital heart defects, and posterior embryotoxon	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:12022040']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0011553	autosomal recessive nonsyndromic hearing loss 26	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:29408807']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0958181	mitochondrial trifunctional protein deficiency 1	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['OMIM:609015']	['ECO:0000501']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0100462	short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:20137779']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0009154	hypothyroidism, congenital, nongoitrous, 5	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:16418214']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0009229	hyaline fibromatosis syndrome	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000007	Autosomal recessive inheritance	biolink:PhenotypicFeature		['PMID:14508707']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
MONDO:0800497	interstitial lung disease 2	biolink:Disease				biolink:has_mode_of_inheritance	HP:0000006	Autosomal dominant inheritance	biolink:PhenotypicFeature		['PMID:19100526']	['ECO:0006017']	infores:hpo-annotations	['infores:monarchinitiative']
