subject	subject_label	subject_category	subject_taxon	subject_taxon_label	negated	predicate	object	object_label	object_category	qualifiers	publications	has_evidence	primary_knowledge_source	aggregator_knowledge_source
HGNC:7876	NOS3	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:contributes_to	MONDO:0007088	Alzheimer disease type 1	biolink:Disease					
HGNC:9834	RAI1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0014723	PMP22-RAI1 contiguous gene duplication syndrome	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:7166	MMP2	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0018298	multicentric osteolysis-nodulosis-arthropathy spectrum	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:10260	RORC	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0014710	autosomal recessive mendelian susceptibility to mycobacterial diseases due to complete RORgamma receptor deficiency	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:10882	SIM1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0015749	6q16 deletion syndrome	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:3749	FLI1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0012817	Ewing sarcoma	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:26820	CYP4F22	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0017778	lamellar ichthyosis	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:6696	LRP4	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0008931	Cenani-Lenz syndactyly syndrome	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:470	AMPD3	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0013028	adenosine monophosphate deaminase deficiency	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:18985	DCXR	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0009846	pentosuria	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:12309	ZNHIT3	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0009841	PEHO syndrome	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:11274	SPTB	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0017319	hereditary elliptocytosis	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:15469	DNAJC6	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0017279	young-onset Parkinson disease	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:11204	SOX9	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0010765	46,XY complete gonadal dysgenesis	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:9802	RAC2	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0011988	neutrophil immunodeficiency syndrome	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:21684	ZNF462	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0032836	Weiss-Kruszka syndrome	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:10024	RLBP1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0007639	fundus albipunctatus	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:26200	STN1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0800504	idiopathic pulmonary fibrosis	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:10597	SCN9A	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0018214	generalized epilepsy with febrile seizures plus	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:1092	FOXL2	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0035524	blepharophimosis-ptosis-epicanthus inversus syndrome type 1	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:6188	JAG1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0008542	tetralogy of fallot	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:14103	ARHGEF10	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0011998	autosomal dominant slowed nerve conduction velocity	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
HGNC:11998	TP53	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:gene_associated_with_condition	MONDO:0003582	hereditary breast ovarian cancer syndrome	biolink:Disease				infores:orphanet	['infores:monarchinitiative']
