g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism support,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,additional mined publications,panel,comments,date of last review,review
G2P00004,ATR,601215,882,FRP1; MEC1; SCKL; SCKL1,ATR-related Seckel syndrome,210600,MONDO:0008869,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000028; HP:0000047; HP:0000175; HP:0000218; HP:0000237; HP:0000252; HP:0000324; HP:0000340; HP:0000347; HP:0000369; HP:0000377; HP:0000444; HP:0000448; HP:0000486; HP:0000494; HP:0000581; HP:0000678; HP:0000689; HP:0000752; HP:0000878; HP:0000954; HP:0001090; HP:0001249; HP:0001250; HP:0001302; HP:0001320; HP:0001511; HP:0001592; HP:0001763; HP:0001852; HP:0001876; HP:0001883; HP:0002650; HP:0002750; HP:0002827; HP:0002987; HP:0003083; HP:0003508; HP:0004209; HP:0006143; HP:0006297; HP:0006434; HP:0006442; HP:0007048; HP:0008665; HP:0010230; HP:0010583,10889046; 12640452; 23111928; 30199583,10631133; 15279811; 21669506; 23144622; 27235459; 32005695,DD; Skeletal,,2025-01-27 14:24:27+00:00,
G2P00012,FGFR3,134934,3690,ACH; CD333; CEK2; JTK4,FGFR3-related lacrimo-auriculo-dento-digital syndrome (LADD),620192,MONDO:0859577,monoallelic_autosomal,,definitive,altered gene product structure,inframe_deletion; inframe_insertion; missense_variant,undetermined,inferred,,,HP:0000006; HP:0000104; HP:0000198; HP:0000217; HP:0000316; HP:0000337; HP:0000378; HP:0000410; HP:0000494; HP:0000579; HP:0000620; HP:0000629; HP:0000668; HP:0000670; HP:0000680; HP:0000974; HP:0001092; HP:0001233; HP:0001245; HP:0002984; HP:0003022; HP:0003974; HP:0004209; HP:0005707; HP:0006297; HP:0007656; HP:0007732; HP:0007892; HP:0007900; HP:0008743; HP:0009462; HP:0009740; HP:0009741; HP:0009944; HP:0010055; HP:0011065; HP:0100258; HP:0100583,16501574; 28483234,10868910; 16871865; 17992550; 19863897; 24136083; 32227640; 35535755; 35793999; 35870793; 37128991; 9580776; 9598741,DD; Eye; Skeletal,,2024-08-22 18:59:21+00:00,
G2P00015,FLNB,603381,3755,ABP-278; FH1; FLN1L; LRS1; TABP; TAP,FLNB-related spondylocarpotarsal synostosis syndrome,272460,MONDO:0010094,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000107; HP:0000175; HP:0000283; HP:0000316; HP:0000384; HP:0000410; HP:0000455; HP:0000470; HP:0000518; HP:0001763; HP:0002091; HP:0002644; HP:0002650; HP:0002656; HP:0002750; HP:0002948; HP:0003196; HP:0003305; HP:0003307; HP:0003311; HP:0003422; HP:0003521; HP:0004209; HP:0006297; HP:0007703; HP:0008368; HP:0008456; HP:0009702,14991055; 18257094; 18386804; 29566257; 33407338; 33916386; 37781000,22354125; 28739045; 30796325; 31218223; 36140791; 38743867,DD; Eye; Skeletal,,2023-05-24 09:07:25+00:00,
G2P00018,AGPS,603051,327,ADAP-S; ADAS; ADHAPS; ADPS; ALDHPSY,AGPS-related rhizomelic chondrodysplasia punctata,600121,MONDO:0010823,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,,HP:0000007; HP:0000518; HP:0001508; HP:0003097; HP:0005792; HP:0008873; HP:0008905; HP:0010655,11152660; 7807941,21990100; 24849933; 27616591; 33337545; 34229749; 35070570; 35986576,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00,
G2P00019,OFD1,300170,2567,71-7A; CXORF5; JBTS10; RP23,OFD1-related oral-facial-digital syndrome,311200,MONDO:0010702,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,,HP:0000093; HP:0000113; HP:0000138; HP:0000161; HP:0000175; HP:0000180; HP:0000199; HP:0000218; HP:0000238; HP:0000252; HP:0000286; HP:0000308; HP:0000316; HP:0000324; HP:0000365; HP:0000369; HP:0000430; HP:0000431; HP:0000494; HP:0000670; HP:0000822; HP:0001056; HP:0001156; HP:0001159; HP:0001249; HP:0001250; HP:0001274; HP:0001317; HP:0001395; HP:0001407; HP:0001423; HP:0001596; HP:0001627; HP:0001737; HP:0001780; HP:0002007; HP:0002132; HP:0002282; HP:0002444; HP:0002536; HP:0003577; HP:0004322; HP:0006297; HP:0006349; HP:0008070; HP:0009085; HP:0009466; HP:0010297; HP:0010442; HP:0011069; HP:0100702,11179005; 11950863; 15221448; 9198060; 9482645,12119212; 12595504; 16384823; 16397067; 16783569; 18057484; 18177199; 18546297; 19023858; 19610098; 19817772; 19876934; 20818665; 21271673; 21729220; 22123492; 22548404; 23033313; 23036093; 24124058; 24712474; 24884629; 26147564; 27081566; 27651963; 27957444; 28191358; 28289185; 28371265; 29193896; 30401917; 30484888; 30702069; 31243241; 31373179; 32047782; 32064904; 32677760; 32897366; 33825116; 35398350; 35437898; 35439611; 35450320; 36409858; 36567511; 36571587; 36833254; 38969348; 39766900; 39985054; 9215688; 9249769,DD; Skeletal,,2023-05-24 09:07:26+00:00,
G2P00021,COL1A1,120150,2197,OI4,COL1A1-related osteogenesis imperfecta spectrum,166220,MONDO:0008148,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,,HP:0000006; HP:0000007; HP:0000239; HP:0000260; HP:0000272; HP:0000325; HP:0000347; HP:0000362; HP:0000365; HP:0000444; HP:0000592; HP:0000703; HP:0000707; HP:0000765; HP:0000926; HP:0000938; HP:0000963; HP:0000974; HP:0000977; HP:0000978; HP:0001058; HP:0001075; HP:0001252; HP:0001382; HP:0001507; HP:0001518; HP:0001622; HP:0001623; HP:0001634; HP:0001635; HP:0001790; HP:0002007; HP:0002092; HP:0002093; HP:0002194; HP:0002644; HP:0002645; HP:0002650; HP:0002659; HP:0002691; HP:0002757; HP:0002808; HP:0002980; HP:0002982; HP:0003023; HP:0003088; HP:0003100; HP:0003179; HP:0003321; HP:0003502; HP:0004586; HP:0004942; HP:0005474; HP:0005622; HP:0005855; HP:0005897; HP:0006367; HP:0006640; HP:0008780; HP:0008873; HP:0008921; HP:0010444,11286507; 12538651; 15024692; 15728585; 1613761; 1634225; 1737847; 1770532; 18409203; 1864604; 1874719; 1988452; 2037280; 21834035; 2295701; 2298750; 2309707; 2339700; 2500431; 2511192; 2794057; 2913053; 3082886; 3108247; 3403550; 3667599; 7789952; 7816518; 7881420; 8097422; 8100209; 8364588; 8408653; 8456809; 8723681; 8757037; 8786074; 8910493; 8950680; 9067755; 9295084,25633413; 30408804; 30614853; 30720562; 30838070; 30942118; 30984112; 31039433; 31202667; 31204718; 31218159; 31236376; 31239369; 31323331; 31363794; 31414283; 31531849; 31568717; 31794058; 31898422; 32081708; 32091183; 32144589; 32166892; 32234057; 32281310; 32338564; 32621590; 32668031; 32980524; 33070251; 33166682; 33451138; 33705765; 33775700; 33796912; 33859900; 34025714; 34107839; 34306033; 34381850; 34484741; 35044492; 35073670; 35119775; 35154279; 35243755; 35346302; 35456387; 35463886; 35575034; 35581901; 35587586; 35647203; 35693066; 35748117; 35822426; 35855989; 35873455; 35893298; 35909573; 35928384; 35942528; 36338653; 36339400; 36343986; 36830650; 36896471; 36900016; 36922619; 37183013; 37188488; 37197785; 37643181; 37678008; 37908991; 38003005; 38027129; 38102329; 38346409; 38561934; 39025364; 39156321; 39198999; 39268228; 39271919; 39513464; 39674968; 39711104; 39957537; 40035361; 40047057; 40175636; 40176241; 40219777; 40428297; 40444480; 40466676; 40567897; 40602110,DD; Skin; Skeletal,,2025-01-15 11:51:09+00:00,
G2P00023,CHST3,603799,1971,C6ST; C6ST1,CHST3-related spondyloepiphyseal dysplasia with congenital joint dislocations,143095,MONDO:0007738,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000006; HP:0000007; HP:0000218; HP:0000316; HP:0000337; HP:0000343; HP:0000365; HP:0000470; HP:0000684; HP:0000687; HP:0000691; HP:0001156; HP:0001552; HP:0001629; HP:0001642; HP:0001650; HP:0001653; HP:0001659; HP:0001714; HP:0001718; HP:0001762; HP:0001763; HP:0002092; HP:0002194; HP:0002515; HP:0002553; HP:0002655; HP:0002750; HP:0002751; HP:0002829; HP:0002857; HP:0002938; HP:0002945; HP:0002967; HP:0002982; HP:0003022; HP:0003031; HP:0003040; HP:0003042; HP:0003071; HP:0003090; HP:0003093; HP:0003184; HP:0003301; HP:0003417; HP:0003834; HP:0004976; HP:0005180; HP:0006067; HP:0006462; HP:0006471; HP:0006610; HP:0007598; HP:0008450; HP:0008551; HP:0008905; HP:0009179; HP:0009803; HP:0009882; HP:0010049; HP:0010446; HP:0010585; HP:0045075; HP:0100490; HP:0100864,112567; 15098240; 18513679; 18698629; 19320654; 20830804,15215498; 23918704; 24300290; 26572954; 27753269; 28396765; 31567425; 32639237; 33625031; 35583673; 36042462; 36729370; 37183573; 37876363; 39359945,DD; Skeletal,,2023-05-24 09:07:26+00:00,
G2P00028,TBX3,601621,11602,TBX3-ISO; UMS; XHL,TBX3-related Ulnar-mammary syndrome,181450,MONDO:0008411,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000006; HP:0000023; HP:0000049; HP:0000054; HP:0000668; HP:0000823; HP:0000882; HP:0000894; HP:0001162; HP:0001513; HP:0001607; HP:0001629; HP:0002021; HP:0002023; HP:0002025; HP:0002215; HP:0002557; HP:0002984; HP:0003022; HP:0003186; HP:0003187; HP:0003974; HP:0003977; HP:0003982; HP:0005338; HP:0005792; HP:0007397; HP:0008093; HP:0010627; HP:0011755; HP:0011917,12116211; 12668170; 19938096; 9207801,10330342; 12668595; 16530712; 16892408; 16896345; 21199695; 21457577; 23266815; 23713051; 24664963; 24679913; 27722056; 28145909; 28961683; 30223900; 30550377; 30654152; 33930582; 36140816; 36798250; 36937985; 39320041; 39788453; 40485890,DD; Skeletal,,2023-05-24 09:07:26+00:00,
G2P00037,COL2A1,120140,2200,AOM; SEDC; STL1,COL2A1-related Kniest dysplasia,156550,MONDO:0007987,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,,HP:0000006; HP:0000023; HP:0000175; HP:0000272; HP:0000311; HP:0000403; HP:0000405; HP:0000470; HP:0000518; HP:0000520; HP:0000541; HP:0000545; HP:0000926; HP:0000947; HP:0001270; HP:0001288; HP:0001537; HP:0002098; HP:0002663; HP:0002779; HP:0002812; HP:0002827; HP:0002829; HP:0003015; HP:0003037; HP:0003273; HP:0003417; HP:0003521; HP:0004619; HP:0005280; HP:0006172; HP:0008271; HP:0008839; HP:0200003,26443184; 26626311; 7849719; 7874117; 7981752; 8702139; 8863156; 8893763; 9452022,10406661; 11297324; 12205109; 14644246; 15076581; 15895462; 17726487; 18309338; 19072565; 19764028; 20513134; 21250907; 21332586; 21442341; 22189268; 22717203; 23188137; 24664531; 25592122; 26345137; 26435866; 27152560; 27234559; 28109507; 29928178; 30608389; 31245322; 31758797; 31854518; 32071555; 32648279; 34737199; 37141942; 37489771; 38013291; 38020103; 39425611; 39849673; 4014370; 40475174; 7700721; 7847372; 8157027; 8702133; 8723099; 9066888; 9269170; 9468540; 9675039; 9800905,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00,
G2P00038,TGFB3,190230,11769,ARVD; ARVD1,TGFB3-related Loeys-Dietz syndrome,615582,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,,24798638,23824657; 24817670; 26184463; 28425089; 29392890; 31898322; 32022420; 32306189; 34166818; 34549088; 34659991; 34807423; 34906513; 35399906; 35668506; 35989525; 36308480; 36328362; 36529632; 37719708; 39450604; 39653386; 40482834; 40533122; 7951245,DD; Skeletal,,2023-05-24 09:07:26+00:00,
G2P00044,LRP5,603506,6697,BMND1; EVR1; EVR4; HBM; LR3; LRP7; OPPG; OPS; OPTA1; VBCH2,LRP5-related osteopetrosis,601884,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,inframe_deletion; inframe_insertion; missense_variant,gain of function,inferred,,,HP:0000006; HP:0000405; HP:0000407; HP:0000689; HP:0000925; HP:0000935; HP:0001507; HP:0001939; HP:0002315; HP:0002644; HP:0002684; HP:0004425; HP:0004563; HP:0005789; HP:0006174; HP:0008114; HP:0100789; HP:0100861; HP:0100923,11741193; 12579474; 14727154,15141052; 15615112; 15824861; 15940380; 20855225; 21600326; 21947783; 23744590; 23886840; 25323851; 26348019; 28893644; 29208525; 29709743; 40585686,DD; Skeletal,,2024-09-11 14:04:28+00:00,
G2P00046,DOCK6,614194,19189,KIAA1395; ZIR1,DOCK6-related Adams-Oliver syndrome,614219,MONDO:0013635,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000252; HP:0000256; HP:0000294; HP:0000316; HP:0000347; HP:0000369; HP:0000411; HP:0000414; HP:0000486; HP:0000568; HP:0000648; HP:0000954; HP:0000965; HP:0001250; HP:0001263; HP:0001562; HP:0001792; HP:0002059; HP:0002126; HP:0005280; HP:0006951,21820096; 28884918; 30898718; 32498638,25091416; 25824905; 28160419; 29631299; 29924900; 33655927; 36330903; 36456540; 36779775; 37133614; 39510613; 40481473; 40734490,DD; Skin; Skeletal,,2025-02-07 12:22:35+00:00,
G2P00055,ACAN,155760,319,AGC1; CSPG1; CSPGCP; MSK16,ACAN-related spondyloepiphyseal dysplasia,608361,MONDO:0012019,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000006; HP:0000926; HP:0002655; HP:0002750; HP:0002857; HP:0002970; HP:0003370; HP:0003508,27710243; 31747937; 32871652; 33298914; 34187405; 34210114; 34456977; 34605228; 35330881; 36387899; 36597844; 36950254; 37025453; 37064332,16080123; 24762113; 25741789; 27870580; 28331218; 29025200; 29264551; 29302920; 29464738; 29769040; 30753492; 32270973; 32846772; 32935225; 32980524; 33471655; 33606014; 34516402; 34894100; 35001504; 35250876; 35434101; 36118854; 36714562; 38232712; 38494255; 38613222; 38782218; 39364324; 39502477; 40129139,DD; Skeletal,,2023-05-24 09:07:26+00:00,
G2P00069,AMER1,300647,26837,FAM123B; FLJ39827; RP11-403E24.2; WTX,AMER1-related osteopathia striata with cranial sclerosis,300373,MONDO:0010310,monoallelic_X_heterozygous,,strong,absent gene product,,loss of function,inferred,,,HP:0000003; HP:0000175; HP:0000179; HP:0000193; HP:0000201; HP:0000204; HP:0000218; HP:0000238; HP:0000239; HP:0000256; HP:0000286; HP:0000316; HP:0000341; HP:0000347; HP:0000358; HP:0000369; HP:0000396; HP:0000405; HP:0000431; HP:0000465; HP:0000678; HP:0000689; HP:0000695; HP:0000750; HP:0000767; HP:0000885; HP:0001166; HP:0001250; HP:0001252; HP:0001256; HP:0001338; HP:0001423; HP:0001476; HP:0001508; HP:0001539; HP:0001561; HP:0001562; HP:0001611; HP:0001629; HP:0001631; HP:0001643; HP:0001762; HP:0002007; HP:0002020; HP:0002023; HP:0002025; HP:0002104; HP:0002315; HP:0002566; HP:0002650; HP:0002684; HP:0002779; HP:0002990; HP:0003038; HP:0003298; HP:0004209; HP:0004322; HP:0005619; HP:0005830; HP:0006587; HP:0006610; HP:0006784; HP:0008551; HP:0010628,19079258,11807859; 20209645; 22670894; 22987541; 23494899; 25284440; 26886897; 27369646; 28497491; 28893644; 28990699; 29120061; 32879452; 33265914; 33996185; 34414661; 35186393; 35991531; 36446546; 36581928; 38801192; 40107724,DD; Skeletal,,2023-05-24 09:07:26+00:00,
