g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism support,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,additional mined publications,panel,comments,date of last review,review
G2P00001,HMX1,142992,5017,H6; NKX5-3,HMX1-related oculoauricular syndrome,612109,MONDO:0012802,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000356; HP:0000482; HP:0000505; HP:0000518; HP:0000556; HP:0000568; HP:0000589; HP:0000639; HP:0000647; HP:0001104; HP:0004328; HP:0007906,18423520; 25574057; 29140751,21417677; 31469246; 35946463,DD; Eye,,2019-09-26 16:23:46+00:00,
G2P00008,YAP1,606608,16262,YAP-1; YAP65,"YAP1-related coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or intellectual developmental disorder",120433,MONDO:0007355,monoallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,HP:0000006; HP:0000175; HP:0000407; HP:0000518; HP:0000567; HP:0000568; HP:0000612; HP:0000790; HP:0001249; HP:0002006; HP:0003829,24462371; 27267789,28801591; 32316019; 35318877,DD; Eye,,2017-05-12 10:48:00+00:00,
G2P00009,BBS9,607968,30000,B1; PTHB1,BBS9-related Bardet-Biedl syndrome,615986,MONDO:0014437,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000054; HP:0000077; HP:0000135; HP:0000137; HP:0000148; HP:0000218; HP:0000256; HP:0000365; HP:0000483; HP:0000486; HP:0000501; HP:0000505; HP:0000510; HP:0000518; HP:0000545; HP:0000556; HP:0000639; HP:0000668; HP:0000678; HP:0000750; HP:0000819; HP:0000822; HP:0001007; HP:0001080; HP:0001156; HP:0001159; HP:0001162; HP:0001249; HP:0001251; HP:0001263; HP:0001328; HP:0001395; HP:0001513; HP:0001712; HP:0001773; HP:0001829; HP:0002099; HP:0002141; HP:0002167; HP:0002251; HP:0002370; HP:0003812; HP:0003828; HP:0007707; HP:0008734; HP:0009466; HP:0009806; HP:0010442,16380913; 22353939,26846096; 29367880; 31294530; 32037757; 32165602; 33138063; 33771153; 33777945; 34212515; 34692830; 35222663; 38534779; 39125883; 39211725; 39618083; 40252141,DD; Eye,,2025-01-21 22:09:55+00:00,
G2P00010,TRIM32,602290,16380,BBS11; HT2A; LGMD2H; TATIP,TRIM32-related Bardet-Biedl syndrome,615988,MONDO:0014439,biallelic_autosomal,,limited,uncertain,,undetermined,inferred,,,HP:0000007; HP:0000054; HP:0000077; HP:0000135; HP:0000137; HP:0000148; HP:0000218; HP:0000256; HP:0000365; HP:0000483; HP:0000486; HP:0000501; HP:0000510; HP:0000518; HP:0000545; HP:0000556; HP:0000639; HP:0000668; HP:0000678; HP:0000750; HP:0000819; HP:0000822; HP:0001007; HP:0001080; HP:0001156; HP:0001159; HP:0001162; HP:0001249; HP:0001251; HP:0001263; HP:0001328; HP:0001395; HP:0001513; HP:0001712; HP:0001773; HP:0001829; HP:0002099; HP:0002141; HP:0002167; HP:0002251; HP:0002370; HP:0007707; HP:0008734; HP:0009466; HP:0009806,16606853,19797195; 23142638; 25351777,DD; Eye,,2025-01-21 22:12:35+00:00,
G2P00011,PAX2,167409,8616,PAX-2,PAX2-related papillorenal syndrome,120330,MONDO:0007352,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000003; HP:0000006; HP:0000076; HP:0000085; HP:0000089; HP:0000093; HP:0000407; HP:0000480; HP:0000518; HP:0000533; HP:0000541; HP:0000568; HP:0000588; HP:0000608; HP:0000787; HP:0000969; HP:0001144; HP:0001249; HP:0001250; HP:0002171; HP:0003774; HP:0004712; HP:0007099; HP:0011509; HP:0012019,11093271; 11461952; 2644560; 3377002; 7795640; 9106533; 9760197,10466411; 10533062; 10599670; 10916073; 11168927; 11241473; 11390716; 11581073; 11730657; 11826030; 12140054; 12470164; 12660411; 14521546; 14566649; 15652857; 15808183; 16049068; 16148630; 16971658; 17269592; 17403695; 17541647; 18512081; 18609495; 19839859; 19954729; 20075965; 20358591; 20591936; 20714122; 20828237; 21108633; 21151632; 21285886; 21380624; 21654726; 21696512; 22213154; 22350371; 22361651; 22581475; 22660956; 23539225; 23686327; 23703240; 23966757; 24032291; 24676634; 25257335; 26571382; 27226968; 27293569; 28820764; 29054766; 29339962; 30241513; 31001663; 31060108; 31538321; 31692565; 32164334; 32203253; 32776440; 33067217; 33363218; 33623695; 33746522; 33945118; 33997468; 34057964; 34217267; 34285019; 34696790; 34889688; 34906559; 34908837; 35087773; 35444690; 35574290; 35790137; 36249605; 36835576; 37479424; 37628926; 38060109; 38139322; 38338714; 38467926; 39076761; 39235128; 39842896; 39994403; 40229647; 40282888; 40515469; 40572647; 40582774; 8588587; 9132492,DD; Eye,,2015-07-22 16:14:08+00:00,
G2P00012,FGFR3,134934,3690,ACH; CD333; CEK2; JTK4,FGFR3-related lacrimo-auriculo-dento-digital syndrome (LADD),620192,MONDO:0859577,monoallelic_autosomal,,definitive,altered gene product structure,inframe_deletion; inframe_insertion; missense_variant,undetermined,inferred,,,HP:0000006; HP:0000104; HP:0000198; HP:0000217; HP:0000316; HP:0000337; HP:0000378; HP:0000410; HP:0000494; HP:0000579; HP:0000620; HP:0000629; HP:0000668; HP:0000670; HP:0000680; HP:0000974; HP:0001092; HP:0001233; HP:0001245; HP:0002984; HP:0003022; HP:0003974; HP:0004209; HP:0005707; HP:0006297; HP:0007656; HP:0007732; HP:0007892; HP:0007900; HP:0008743; HP:0009462; HP:0009740; HP:0009741; HP:0009944; HP:0010055; HP:0011065; HP:0100258; HP:0100583,16501574; 28483234,10868910; 16871865; 17992550; 19863897; 24136083; 32227640; 35535755; 35793999; 35870793; 37128991; 9580776; 9598741,DD; Eye; Skeletal,,2024-08-22 18:59:21+00:00,
G2P00015,FLNB,603381,3755,ABP-278; FH1; FLN1L; LRS1; TABP; TAP,FLNB-related spondylocarpotarsal synostosis syndrome,272460,MONDO:0010094,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000107; HP:0000175; HP:0000283; HP:0000316; HP:0000384; HP:0000410; HP:0000455; HP:0000470; HP:0000518; HP:0001763; HP:0002091; HP:0002644; HP:0002650; HP:0002656; HP:0002750; HP:0002948; HP:0003196; HP:0003305; HP:0003307; HP:0003311; HP:0003422; HP:0003521; HP:0004209; HP:0006297; HP:0007703; HP:0008368; HP:0008456; HP:0009702,14991055; 18257094; 18386804; 29566257; 33407338; 33916386; 37781000,22354125; 28739045; 30796325; 31218223; 36140791; 38743867,DD; Eye; Skeletal,,2023-05-24 09:07:25+00:00,
G2P00018,AGPS,603051,327,ADAP-S; ADAS; ADHAPS; ADPS; ALDHPSY,AGPS-related rhizomelic chondrodysplasia punctata,600121,MONDO:0010823,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,,HP:0000007; HP:0000518; HP:0001508; HP:0003097; HP:0005792; HP:0008873; HP:0008905; HP:0010655,11152660; 7807941,21990100; 24849933; 27616591; 33337545; 34229749; 35070570; 35986576,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00,
G2P00025,RPGRIP1,605446,13436,CORD13; LCA6; RGI1; RPGRIP,RPGRIP1-related Leber congenital amaurosis,613826,MONDO:0013446,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000518; HP:0000550; HP:0000556; HP:0000563; HP:0000613; HP:0001141; HP:0007843; HP:0008499; HP:0011463; HP:0012043,11283794; 11528500,23776498; 24625443; 31191208; 34722527; 37761981; 39271608; 40737315,DD; Eye,,2025-01-27 10:43:36+00:00,
G2P00029,LAMA1,150320,6481,LAMA,LAMA1-related cerebellar dysplasia with cysts with or without retinal dystrophy,615960,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000496; HP:0000657; HP:0000733; HP:0001155; HP:0001167; HP:0001251; HP:0001252; HP:0001288; HP:0001317; HP:0001371; HP:0001760; HP:0002186; HP:0002334; HP:0002418; HP:0002817; HP:0004209; HP:0011297; HP:0011844,21937992; 25105227; 27095636; 29167897; 33083009; 34423300; 35224822; 35535551; 35616092,26599961; 26932191; 27980677; 29544220; 30244536; 31088393; 31461790; 32195884; 32884387; 34249907; 34666927; 35671446; 36592689; 37022334; 39539843; 39925441; 39925523; 40428839,DD; Eye,,2015-07-22 16:14:10+00:00,
