g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism support,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,additional mined publications,panel,comments,date of last review,review
G2P00005,FANCB,300515,3583,FAAP95; FAB; FLJ34064,FANCB-related Fanconi anemia,300514,MONDO:0010351,monoallelic_X_hemizygous,,definitive,absent gene product,,loss of function,inferred,,,HP:0000083; HP:0000100; HP:0000119; HP:0000707; HP:0000924; HP:0001287; HP:0001369; HP:0001626; HP:0001701; HP:0001744; HP:0001871; HP:0001917; HP:0001939; HP:0001954; HP:0001974; HP:0002027; HP:0002086; HP:0002102; HP:0002240; HP:0002586; HP:0002715; HP:0002829; HP:0003565; HP:0025031; HP:0025142,15502827; 16679491; 21910217; 22052692; 23613520; 24584348; 25168418; 26683739; 29193904; 29232005; 30792206; 32106311; 36135330,24416387; 31351673,DD; Skin,,2024-08-20 14:13:58+00:00,
G2P00007,NTRK1,191315,8031,MTC; TRK; TRKA,NTRK1-related congenital insensitivity to pain with anhidrosis,256800,MONDO:0009746,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000478; HP:0000491; HP:0000559; HP:0000707; HP:0000712; HP:0000742; HP:0000752; HP:0000924; HP:0000970; HP:0001249; HP:0001263; HP:0001574; HP:0001626; HP:0001939; HP:0001954; HP:0002164; HP:0002209; HP:0002715; HP:0002754; HP:0002821; HP:0003549; HP:0003593; HP:0005307; HP:0006121; HP:0007021; HP:0007249; HP:0007759; HP:0008404; HP:0012332; HP:0040064,10090906; 10233776; 10330344; 10861667; 10982191; 19250380; 8145823; 8696348,10774995; 11071380; 11139246; 11241480; 11310631; 11668614; 12102460; 12406349; 15159601; 15534759; 16138253; 16373086; 18077166; 18322713; 18657423; 19089473; 19618435; 19651702; 20647579; 20978020; 21559108; 21708027; 22032467; 22653642; 22814739; 22882139; 23112235; 23799134; 25316729; 25337332; 25519000; 25984678; 26579324; 27184211; 27265460; 27676246; 27772781; 28116328; 28177573; 28192073; 28328124; 28345382; 28940190; 29595626; 29619836; 29770739; 30075136; 30201336; 30461622; 30677517; 30774415; 31395116; 31741348; 31741675; 31841741; 32807182; 33748046; 34405299; 34732685; 35573589; 35756968; 36475157; 37248554; 38058353; 38061701; 38133079; 38241559; 38581121; 38659257; 38798698; 38833577; 39687654; 40150626; 40211677; 40698480,DD; Skin,,2017-09-01 16:19:16+00:00,
G2P00021,COL1A1,120150,2197,OI4,COL1A1-related osteogenesis imperfecta spectrum,166220,MONDO:0008148,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,,HP:0000006; HP:0000007; HP:0000239; HP:0000260; HP:0000272; HP:0000325; HP:0000347; HP:0000362; HP:0000365; HP:0000444; HP:0000592; HP:0000703; HP:0000707; HP:0000765; HP:0000926; HP:0000938; HP:0000963; HP:0000974; HP:0000977; HP:0000978; HP:0001058; HP:0001075; HP:0001252; HP:0001382; HP:0001507; HP:0001518; HP:0001622; HP:0001623; HP:0001634; HP:0001635; HP:0001790; HP:0002007; HP:0002092; HP:0002093; HP:0002194; HP:0002644; HP:0002645; HP:0002650; HP:0002659; HP:0002691; HP:0002757; HP:0002808; HP:0002980; HP:0002982; HP:0003023; HP:0003088; HP:0003100; HP:0003179; HP:0003321; HP:0003502; HP:0004586; HP:0004942; HP:0005474; HP:0005622; HP:0005855; HP:0005897; HP:0006367; HP:0006640; HP:0008780; HP:0008873; HP:0008921; HP:0010444,11286507; 12538651; 15024692; 15728585; 1613761; 1634225; 1737847; 1770532; 18409203; 1864604; 1874719; 1988452; 2037280; 21834035; 2295701; 2298750; 2309707; 2339700; 2500431; 2511192; 2794057; 2913053; 3082886; 3108247; 3403550; 3667599; 7789952; 7816518; 7881420; 8097422; 8100209; 8364588; 8408653; 8456809; 8723681; 8757037; 8786074; 8910493; 8950680; 9067755; 9295084,25633413; 30408804; 30614853; 30720562; 30838070; 30942118; 30984112; 31039433; 31202667; 31204718; 31218159; 31236376; 31239369; 31323331; 31363794; 31414283; 31531849; 31568717; 31794058; 31898422; 32081708; 32091183; 32144589; 32166892; 32234057; 32281310; 32338564; 32621590; 32668031; 32980524; 33070251; 33166682; 33451138; 33705765; 33775700; 33796912; 33859900; 34025714; 34107839; 34306033; 34381850; 34484741; 35044492; 35073670; 35119775; 35154279; 35243755; 35346302; 35456387; 35463886; 35575034; 35581901; 35587586; 35647203; 35693066; 35748117; 35822426; 35855989; 35873455; 35893298; 35909573; 35928384; 35942528; 36338653; 36339400; 36343986; 36830650; 36896471; 36900016; 36922619; 37183013; 37188488; 37197785; 37643181; 37678008; 37908991; 38003005; 38027129; 38102329; 38346409; 38561934; 39025364; 39156321; 39198999; 39268228; 39271919; 39513464; 39674968; 39711104; 39957537; 40035361; 40047057; 40175636; 40176241; 40219777; 40428297; 40444480; 40466676; 40567897; 40602110,DD; Skin; Skeletal,,2025-01-15 11:51:09+00:00,
G2P00024,HRAS,190020,5173,HRAS1,HRAS-related Costello syndrome,218040,MONDO:0009026,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,gain of function,inferred,,,HP:0000006; HP:0000083; HP:0000158; HP:0000179; HP:0000218; HP:0000238; HP:0000256; HP:0000260; HP:0000280; HP:0000286; HP:0000293; HP:0000307; HP:0000316; HP:0000347; HP:0000358; HP:0000369; HP:0000463; HP:0000465; HP:0000470; HP:0000486; HP:0000494; HP:0000508; HP:0000768; HP:0000956; HP:0001000; HP:0001187; HP:0001249; HP:0001263; HP:0001508; HP:0001548; HP:0001552; HP:0001561; HP:0001598; HP:0001609; HP:0001622; HP:0001629; HP:0001631; HP:0001634; HP:0001639; HP:0001642; HP:0001699; HP:0001762; HP:0001771; HP:0001808; HP:0001814; HP:0001869; HP:0001943; HP:0002021; HP:0002033; HP:0002059; HP:0002093; HP:0002107; HP:0002119; HP:0002212; HP:0002779; HP:0002780; HP:0002859; HP:0002862; HP:0002870; HP:0002996; HP:0003745; HP:0003764; HP:0004322; HP:0005280; HP:0005989; HP:0006191; HP:0007099; HP:0008070; HP:0011675; HP:0012081,16170316; 16443854; 16835863; 17054105; 17056636; 17412879; 17468812; 18039947; 18247425; 19995790,22098123; 22113246; 22495831; 22495892; 22510203; 22683711; 22887473; 23429430; 23751039; 23813656; 23918324; 24129065; 24246682; 24341474; 24451042; 24637993; 24668879; 24719541; 25133308; 25367099; 25387514; 25668678; 25677562; 25815234; 25914166; 26400620; 26572961; 26778095; 26888048; 27102959; 27398198; 27705751; 27940666; 28002430; 28027064; 28139825; 28141901; 28328122; 28337834; 28371260; 28390077; 28455154; 28488342; 28489335; 28523882; 28736904; 29575620; 30055033; 30373874; 30664540; 30767209; 30885829; 30937994; 31021405; 31222966; 31394527; 31680412; 31712860; 31736117; 32001297; 32499600; 32681669; 33088020; 33224014; 33482860; 33583608; 33932139; 34109654; 34601768; 34612139; 34618388; 34845155; 34913244; 34964243; 34972725; 35038173; 35101635; 35677617; 35740842; 35764878; 36065636; 36268718; 36515923; 36526283; 36533693; 36896710; 36966234; 37170693; 37194190; 37458522; 37488489; 38018302; 38558293; 38595321; 38929723; 39164809; 39757526; 39925163; 39950644; 40034618,DD; Skin,,2017-09-01 16:19:15+00:00,
G2P00031,PCCA,232000,8653,,PCCA-related propionic acidemia,606054,MONDO:0011628,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000939; HP:0000964; HP:0001250; HP:0001254; HP:0001259; HP:0001263; HP:0001332; HP:0001508; HP:0001638; HP:0001733; HP:0001873; HP:0001875; HP:0001876; HP:0001903; HP:0001942; HP:0001943; HP:0001944; HP:0001987; HP:0002013; HP:0002019; HP:0002059; HP:0002104; HP:0002154; HP:0002240; HP:0002509; HP:0002789; HP:0003108; HP:0003128; HP:0003353; HP:0004322; HP:0004396; HP:0006846; HP:0008872; HP:0008936; HP:0011695,10101253; 10820128; 12189489; 17966092; 8225321; 8295402; 8411997; 9385377; 9683601; 9887338,10502773; 12559849; 15059621; 15164333; 15464417; 17051315; 18790721; 19157943; 20493181; 20549364; 22033733; 22156789; 24464666; 24863100; 25865301; 27227689; 30014764; 30186825; 30705822; 31893529; 31916709; 32252659; 32819290; 32995289; 34646737; 35331292; 37131081; 37689673; 38200289; 39953904; 40075390; 40177291,DD; Skin,,2017-09-01 16:19:16+00:00,
G2P00049,XPC,613208,12816,RAD4; XPCC,XPC-related xeroderma pigmentosum,278720,MONDO:0010211,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000491; HP:0000509; HP:0000613; HP:0000621; HP:0000656; HP:0000992; HP:0001009; HP:0001010; HP:0001029; HP:0002671; HP:0003079; HP:0004334; HP:0006739; HP:0011463; HP:0012056,11121128; 11511294; 14662655; 19478817; 8298653; 9804340,10604143; 20816579; 23143338; 23984341; 25256075; 26227012; 27387384; 27982466; 28255305; 28615033; 29356054; 30101995; 31923348; 33672602; 35235204; 38003022; 38422792; 40252274,DD; Skin; Cancer,,2017-09-01 16:19:16+00:00,
G2P00057,FLNA,300017,3754,ABP-280; FLN; FLN1; OPD1; OPD2,FLNA-related epileptic encephalopathy,,MONDO:0100062,monoallelic_X_heterozygous,,definitive,altered gene product structure,inframe_deletion; inframe_insertion; missense_variant,undetermined,inferred,,,,23934111,15194946; 17190868; 19842192; 19917821; 20730588; 21412975; 25755106; 26059211; 26061098; 26804200; 27091362; 28660794; 30089473; 30561107; 31234783; 32108395; 33497531; 34863227; 34882997; 35585709; 36509760; 40264431,DD; Skin,,2025-01-27 22:44:48+00:00,
G2P00058,NAGA,104170,7631,D22S674,NAGA-related Kanzaki disease,609242,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000179; HP:0000214; HP:0000280; HP:0000407; HP:0000478; HP:0000486; HP:0000639; HP:0000648; HP:0000938; HP:0000958; HP:0000962; HP:0001004; HP:0001071; HP:0001250; HP:0001252; HP:0001256; HP:0001257; HP:0001263; HP:0001336; HP:0001347; HP:0002059; HP:0002321; HP:0002376; HP:0002460; HP:0002936; HP:0003355; HP:0003409; HP:0003461; HP:0003477; HP:0003581; HP:0003593; HP:0003700; HP:0005280; HP:0006812; HP:0007428; HP:0010864; HP:0100704,11251574; 2243144; 2564952; 8071745; 8782044,11313741; 15619430; 31468281; 31890708,DD; Skin,,2017-09-01 16:19:16+00:00,
G2P00065,NSDHL,300275,13398,H105E3; SDR31E1; XAP104,NSDHL-related CK syndrome,300831,MONDO:0010441,monoallelic_X_hemizygous,,definitive,absent gene product,,loss of function,inferred,,,HP:0000218; HP:0000252; HP:0000272; HP:0000275; HP:0000276; HP:0000278; HP:0000286; HP:0000347; HP:0000358; HP:0000426; HP:0000486; HP:0000582; HP:0000678; HP:0000718; HP:0000737; HP:0000750; HP:0000752; HP:0001249; HP:0001250; HP:0001263; HP:0001290; HP:0001302; HP:0001382; HP:0001419; HP:0001533; HP:0002126; HP:0002360; HP:0002650; HP:0002808; HP:0003103; HP:0003307; HP:0007874; HP:0011297,19377476; 19842190,21129721; 25900314; 30376821; 30488480; 34091503,DD; Skin,,2017-09-01 16:19:16+00:00,
G2P00073,GJB6,604418,4288,CX30; DFNA3; ED2; EDH; HED,GJB6-related deafness,612645,MONDO:0012977,biallelic_autosomal,,limited,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0001751,11807148,,Skin,,2017-09-01 16:19:15+00:00,
